EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2012/6653,Phosphate Mining in South Point Christmas Island,Under review,2014-06-27,2034-06-27,PHOSPHATE RESOURCES LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ad95f6ca-6067-e511-b4b8-005056ba00ab,2023-02-16
2014/7164,"Sand Mine, Lot 122 Old Coast Road, Parkfield, Binningup, WA",Under review,2014-06-19,2029-07-01,HOVEY PROPERTY PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a994f6ca-6067-e511-b4b8-005056ba00ab,2023-02-16
2014/7164,"Sand Mine, Lot 122 Old Coast Road, Parkfield, Binningup, WA",Under review,2014-06-19,2029-07-01,HOVEY PROPERTY PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a994f6ca-6067-e511-b4b8-005056ba00ab,2023-02-16
2014/7146,"Residential development,Lot 609, Yanchep Beach Road, Yanchep, WA",Under review,2014-06-13,2029-12-31,Peet Funds Management Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a594f6ca-6067-e511-b4b8-005056ba00ab,2023-02-16
2010/5782,Springsure Creek Coal Project,Under review,2014-06-06,2042-10-20,Springsure Creek Coal Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=df92f6ca-6067-e511-b4b8-005056ba00ab,2023-02-16
2013/6985,"Abydos Direct Shipping Ore (DSO) Project, Stage 2",Under review,2014-06-03,2024-06-05,Atlas Iron Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8594f6ca-6067-e511-b4b8-005056ba00ab,2023-02-16
2013/6985,"Abydos Direct Shipping Ore (DSO) Project, Stage 2",Under review,2014-06-03,2024-06-05,Atlas Iron Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8594f6ca-6067-e511-b4b8-005056ba00ab,2023-02-16
2013/6985,"Abydos Direct Shipping Ore (DSO) Project, Stage 2",Under review,2014-06-03,2024-06-05,Atlas Iron Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8594f6ca-6067-e511-b4b8-005056ba00ab,2023-02-16
2007/3479,Meridian Business Park Industrial Development,Under review,2014-06-02,2064-12-31,CITY OF WANNEROO,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0494f6ca-6067-e511-b4b8-005056ba00ab,2023-02-16
2007/3479,Meridian Business Park Industrial Development,Under review,2014-06-02,2064-12-31,CITY OF WANNEROO,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0494f6ca-6067-e511-b4b8-005056ba00ab,2023-02-16
