EPBC Number,Stem,Url,Under Review,Scraped
2014/7208,2014_7208,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ca54870b-5b8b-eb11-80c3-00505684c137,,
2014/7259,2014_7259,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7b6e7931-27ac-e911-ad32-00505684324c,True,2023/02/16
2010/5491,2010_5491,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4c92f6ca-6067-e511-b4b8-005056ba00ab,True,2023/02/16
2009/4892,2009_4892,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2e91f6ca-6067-e511-b4b8-005056ba00ab,True,2023/02/16
2015/7454,2015_7454,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=edfaf398-e075-e911-a6be-00505684324c,True,2023/02/16
2014/7384,2014_7384,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c3e3e054-1e11-e811-9fee-005056ba00a7,True,2023/02/16
2014/7228,2014_7228,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=89dfc6af-2253-ec11-80cf-00505684c137,True,2023/02/16
2001/529,2001_529,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7b92c686-3e3f-e711-998c-005056ba00a8,True,2023/02/16
2005/2163,2005_2163,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9b93f6ca-6067-e511-b4b8-005056ba00ab,True,2023/02/16
2008/4601,2008_4601,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=cf90f6ca-6067-e511-b4b8-005056ba00ab,True,2023/02/16
2013/6904,2013_6904,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=e58e010e-29c9-e911-8be7-00505684324c,True,2023/02/16
2007/3423,2007_3423,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1533dee8-5194-ec11-80d5-00505684c563,True,2023/02/16
2008/4128,2008_4128,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a6427f22-e3dd-e611-bdfe-005056ba00a8,True,2023/02/16
2016/7724,2016_7724,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6b2d11f2-3640-ec11-80d1-00505684c563,True,2023/02/16
2013/6866,2013_6866,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5694f6ca-6067-e511-b4b8-005056ba00ab,True,2023/02/16
2011/6061,2011_6061,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=e594f6ca-6067-e511-b4b8-005056ba00ab,True,2023/02/16
2008/4214,2008_4214,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6990f6ca-6067-e511-b4b8-005056ba00ab,True,2023/02/16
2008/4399,2008_4399,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8c90f6ca-6067-e511-b4b8-005056ba00ab,True,2023/02/16
2018/8343,2018_8343,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4f42897c-e666-ed11-9561-00224818a727,True,2023/02/16
2011/5968,2011_5968,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5293f6ca-6067-e511-b4b8-005056ba00ab,True,2023/02/16
2012/6605,2012_6605,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8f95f6ca-6067-e511-b4b8-005056ba00ab,True,2023/02/16
2015/7561,2015_7561,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=65522e50-11a9-ec11-80d6-00505684c563,True,2023/02/16
