EPBC Number,Stem,Url,Under Review,Scraped
2020/8640,2020_8640,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7ccbd335-f766-ed11-9561-00224818a6aa,True,2023/02/15
2020/8839,2020_8839,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7080c6f0-eb66-ed11-9561-00224818a6aa,True,2023/02/15
2020/8769,2020_8769,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f6cc5691-e666-ed11-9561-00224818a6aa,True,2023/02/15
2018/8361,2018_8361,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f8d067f6-fb66-ed11-9561-00224818a6aa,True,2023/02/15
2017/8094,2017_8094,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=13770c84-4469-ed11-81ac-00224818aa41,True,2023/02/15
2020/8732,2020_8732,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=261b7b03-f366-ed11-9561-00224818a6aa,True,2023/02/15
2017/8035,2017_8035,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=25544314-3869-ed11-81ac-00224818aa41,True,2023/02/15
2020/8828,2020_8828,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1d2cb1ab-ec66-ed11-9561-00224818a6aa,True,2023/02/15
2015/7521,2015_7521,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0c026af5-835c-ec11-80cf-00505684c137,True,2023/02/15
2020/8717,2020_8717,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=aa5b280d-f466-ed11-9561-00224818a6aa,True,2023/02/15
2020/8833,2020_8833,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2602fc67-ec66-ed11-9561-00224818a6aa,True,2023/02/15
2021/8926,2021_8926,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ec372997-ef66-ed11-9561-00224818a6aa,True,2023/02/15
