EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2003/972,Roe Hwy Extension,Under review,2004-11-30,2024-11-30,Main Roads Western Australia,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4760fec4-6067-e511-b4b8-005056ba00ab,2023-02-14
2003/972,Roe Hwy Extension,Under review,2004-11-30,2024-11-30,Main Roads Western Australia,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4760fec4-6067-e511-b4b8-005056ba00ab,2023-02-14
2003/1138,Wambo Coal Mine Development Project,Under review,2004-11-23,2029-12-31,WAMBO COAL PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=3760fec4-6067-e511-b4b8-005056ba00ab,2023-02-14
2003/1096,Curragh North Coal Mine,Under review,2004-04-06,2054-04-13,Wesfarmers Curragh Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=778ae891-a672-ec11-80d0-00505684c137,2023-02-14
2002/629,Extending Existing operations at Warkworth Coal Mine,Under review,2004-02-18,2039-02-25,WARKWORTH MINING LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=e01e40f5-1c6a-ed11-81ac-00224818a6aa,2023-02-14
2001/172,Ravensthorpe Nickel Project,Under review,2003-12-24,2045-12-31,RAVENSTHORPE NICKEL OPERATIONS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6460fec4-6067-e511-b4b8-005056ba00ab,2023-02-14
2003/1005,German Creek Coal Mine Extension into Oak Park,Under review,2003-10-15,2030-10-01,ANGLO COAL CAPCOAL MANAGEMENT PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=3360fec4-6067-e511-b4b8-005056ba00ab,2023-02-14
2002/565,Meander River Dam Project,Under review,2003-09-18,2103-09-01,RIVERS AND WATER SUPPLY COMMISSION,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0660fec4-6067-e511-b4b8-005056ba00ab,2023-02-14
2002/565,Meander River Dam Project,Under review,2003-09-18,2103-09-01,RIVERS AND WATER SUPPLY COMMISSION,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0660fec4-6067-e511-b4b8-005056ba00ab,2023-02-14
2002/728,Gas pipeline,Under review,2003-08-04,2053-12-31,QLD POWER TRADING CORPORATION /ENERTRADE,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2760fec4-6067-e511-b4b8-005056ba00ab,2023-02-14
