EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2010/5421,Foxleigh Coal Mine Extension,Under review,2014-04-15,2050-12-31,Foxleigh Coal Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2592f6ca-6067-e511-b4b8-005056ba00ab,2023-03-08
2009/5017,Poplar Tree Removal Program - Grey Headed Flying Fox Zone,Under review,2014-04-11,2022-07-01,EAST GIPPSLAND SHIRE COUNCIL,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4a91f6ca-6067-e511-b4b8-005056ba00ab,2023-03-08
2009/5017,Poplar Tree Removal Program - Grey Headed Flying Fox Zone,Under review,2014-04-11,2022-07-01,EAST GIPPSLAND SHIRE COUNCIL,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4a91f6ca-6067-e511-b4b8-005056ba00ab,2023-03-08
2013/6734,Development of a large-scale industrial estate & redevelopment of an existing truck stop,Under review,2014-04-09,2034-04-30,LOCKYER VALLEY REGIONAL COUNCIL,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=b595f6ca-6067-e511-b4b8-005056ba00ab,2023-03-08
2009/5032,"Tiwest Dongara Project, mineral sands mining and concentrating operation, 25km",Under review,2014-04-09,2038-12-31,TRONOX MANAGEMENT PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5591f6ca-6067-e511-b4b8-005056ba00ab,2023-03-08
2009/5032,"Tiwest Dongara Project, mineral sands mining and concentrating operation, 25km",Under review,2014-04-09,2038-12-31,TRONOX MANAGEMENT PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5591f6ca-6067-e511-b4b8-005056ba00ab,2023-03-08
2009/5032,"Tiwest Dongara Project, mineral sands mining and concentrating operation, 25km",Under review,2014-04-09,2038-12-31,TRONOX MANAGEMENT PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5591f6ca-6067-e511-b4b8-005056ba00ab,2023-03-08
2013/6734,Development of a large-scale industrial estate & redevelopment of an existing truck stop,Under review,2014-04-09,2034-04-30,LOCKYER VALLEY REGIONAL COUNCIL,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=b595f6ca-6067-e511-b4b8-005056ba00ab,2023-03-08
2013/6884,"Residential Development, Lots 13 & 14, Balmoral Road, Kellyville, NSW",Under review,2014-04-08,2025-01-01,Spamb Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6294f6ca-6067-e511-b4b8-005056ba00ab,2023-03-08
2013/6884,"Residential Development, Lots 13 & 14, Balmoral Road, Kellyville, NSW",Under review,2014-04-08,2025-01-01,Spamb Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6294f6ca-6067-e511-b4b8-005056ba00ab,2023-03-08
